province,year,gender,AvglifeExp,lifeExp
Beijing,1990,male,72.86,71.07
Beijing,1990,female,72.86,74.93
Beijing,2000,male,76.1,74.33
Beijing,2000,female,76.1,78.01
Beijing,2010,male,80.18,78.28
Beijing,2010,female,80.18,82.21
Tianjin,1990,male,72.32,71.03
Tianjin,1990,female,72.32,73.73
Tianjin,2000,male,74.91,73.31
Tianjin,2000,female,74.91,76.63
Tianjin,2010,male,78.89,77.42
Tianjin,2010,female,78.89,80.48
Hebei,1990,male,70.35,68.47
Hebei,1990,female,70.35,72.53
Hebei,2000,male,72.54,70.68
Hebei,2000,female,72.54,74.57
Hebei,2010,male,74.97,72.7
Hebei,2010,female,74.97,77.47
Shanxi,1990,male,68.97,67.33
Shanxi,1990,female,68.97,70.93
Shanxi,2000,male,71.65,69.96
Shanxi,2000,female,71.65,73.57
Shanxi,2010,male,74.92,72.87
Shanxi,2010,female,74.92,77.28
Nei Mongol,1990,male,65.68,64.47
Nei Mongol,1990,female,65.68,67.22
Nei Mongol,2000,male,69.87,68.29
Nei Mongol,2000,female,69.87,71.79
Nei Mongol,2010,male,74.44,72.04
Nei Mongol,2010,female,74.44,77.27
Liaoning,1990,male,70.22,68.7
Liaoning,1990,female,70.22,71.94
Liaoning,2000,male,73.34,71.51
Liaoning,2000,female,73.34,75.36
Liaoning,2010,male,76.38,74.12
Liaoning,2010,female,76.38,78.86
Jilin,1990,male,67.95,66.65
Jilin,1990,female,67.95,69.49
Jilin,2000,male,73.1,71.38
Jilin,2000,female,73.1,75.04
Jilin,2010,male,76.18,74.12
Jilin,2010,female,76.18,78.44
Heilongjiang,1990,male,66.97,65.5
Heilongjiang,1990,female,66.97,68.73
Heilongjiang,2000,male,72.37,70.39
Heilongjiang,2000,female,72.37,74.66
Heilongjiang,2010,male,75.98,73.52
Heilongjiang,2010,female,75.98,78.81
Shanghai,1990,male,74.9,72.77
Shanghai,1990,female,74.9,77.02
Shanghai,2000,male,78.14,76.22
Shanghai,2000,female,78.14,80.04
Shanghai,2010,male,80.26,78.2
Shanghai,2010,female,80.26,82.44
Jiangsu,1990,male,71.37,69.26
Jiangsu,1990,female,71.37,73.57
Jiangsu,2000,male,73.91,71.69
Jiangsu,2000,female,73.91,76.23
Jiangsu,2010,male,76.63,74.6
Jiangsu,2010,female,76.63,78.81
